id	name	category	in_taxon
UniProtKB:Q9UJA2	CRLS1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:O60733	PLA2G6 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q16635	TAFAZZIN Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P40939	HADHA Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q8TC71	SPATA18 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q8WUK0	PTPMT1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q32NB8	PGS1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q96BW9	TAMM41 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q01225	OPG188 VACCW	biolink:Gene	NCBITaxon:9606
UniProtKB:Q86WV6	STING1 Hsap	biolink:Gene	NCBITaxon:9606
MGI:MGI:1921700	Pank2 Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1915237	Ppcs Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1914062	Ppcdc Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1918993	Coasy Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1922985	Pank1 Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1920382	Slc25a16 Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1920345	Slc25a42 Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:2660847	Slc5a6 Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1919871	Pdzd11 Mmus	biolink:Gene	NCBITaxon:10090
obo:go/extensions/reacto.owl#REACTO_R-HSA-157049	FURIN	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-5693080	BACE1 deacetylase	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-5692942	BACE1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-9010062	gamma-secretase complex	biolink:Gene	NCBITaxon:9606
MGI:MGI:96952	Mdm2 Mmus	biolink:Gene	NCBITaxon:10090
UniProtKB:P04637	TP53 Hsap	biolink:Gene	NCBITaxon:10090
