id	name	category	in_taxon
UniProtKB:Q00987	MDM2 Hsap	biolink:Gene	NCBITaxon:10090
MGI:MGI:88068	Areg Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:95294	Egfr Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:95410	Erbb2 Mmus	biolink:Gene	NCBITaxon:10090
obo:go/extensions/reacto.owl#REACTO_R-HSA-390232	ACOX1 dimer	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-389999	HSD17B4 dimer	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-382566	ALDP	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-5676214	ELOVL1,2,3,5	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-400122	FADS1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-2046072	ELOVL5/ELOVL2	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-390238	ACAA1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-2046067	SCP2	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-548677	ELOVL2	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-2046075	ACSL1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-2046069	FADS2	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-193426	ACOT8	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-58048	GUK1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-74193	NME1:NME2 hexamer	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-9750562	GMPS dimer	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1454927	ABCC4	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1454939	ABCC5	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-500309	IMPDH tetramers	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-9750554	NUDT15 dimer	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-442272	p-VAV family	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-158628	TPMT	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-201711	CK2	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-ALL-2529006	Unknown Phosphatase	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-2311324	CCNB1,CCNB2:p-T161-CDK1	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9C0B5	ZDHHC5 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q96P20	NLRP3 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q8TDX7	NEK7 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q96GS6	ABHD17A Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q14964	RAB39A Hsap	biolink:Gene	NCBITaxon:9606
GO:0030897	HOPS complex	biolink:Gene	NCBITaxon:9606
UniProtKB:P56962	STX17 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P61019	RAB2A Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q96LT7	C9orf72 Hsap	biolink:Gene	NCBITaxon:9606
RGD:3845	Tf Rnor	biolink:Gene	NCBITaxon:10116
RGD:70488	Tfrc Rnor	biolink:Gene	NCBITaxon:10116
obo:go/extensions/reacto.owl#REACTO_R-HSA-3769055	GK,GK2,GK3P	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1500606	GPAM/GPAT2	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-549099	GPAT4	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1524029	LPCAT	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1500639	PLD1/2	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1500585	AGPAT5	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1500634	PLA2(1)	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1500583	AGPAT	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1500587	CEPT1:Mg2+/Mn2+	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1498747	GDE5	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-549113	GPAM or GPAT2	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1500630	PLA2G2A:Ca2+	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-9640571	DHRS7B	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1500610	GPD1/GPD1L homodimer	biolink:Gene	NCBITaxon:9606
UniProtKB:P48740-PRO_0000027594	MASP1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:O00187-PRO_0000027600	MASP2 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P06681-PRO_0000027612	C2 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P01031-PRO_0000005988	C5 Hsap	biolink:Gene	NCBITaxon:9606
GO:0005579	membrane attack complex	biolink:Gene	NCBITaxon:9606
UniProtKB:P01024-PRO_0000005910	ASP Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P01024-PRO_0000005911	C3 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P48740	MASP1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P0C0L4-PRO_0000005970	C4A Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:O00602	FCN1 Hsap	biolink:Gene	NCBITaxon:9606
MGI:MGI:107501	Kcnj11 Mmus	biolink:Gene	NCBITaxon:10090
GO:0005891	voltage-gated calcium channel complex	biolink:Gene	NCBITaxon:10090
UniProtKB:P49591	SARS1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q8TCB7	METTL6 Hsap	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-428986	COX1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-3222410	PTGIS,CYP8B1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-65976	TXS	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-2142814	PTGDS	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-2142778	HPGD dimer	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-8940670	PTGR2	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-140491	PTGS2 dimer	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-2142683	HPGDS dimer	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-2142714	AKR1C3	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-111860	Active PLA2:phosphatidylcholine	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-166866	MEKK1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-202506	IKKB	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-202527	p-T184,187-TAK1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-375987	ABL1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1268261	p-ERK dimer	biolink:Gene	NCBITaxon:9606
MGI:MGI:1338850	Mthfd2 Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1924836	Mthfd1l Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1277989	Shmt2 Mmus	biolink:Gene	NCBITaxon:10090
UniProtKB:Q14154	DELE1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9BQI3	EIF2AK1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P05198	EIF2S1 Hsap	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-9026465	BDNF:p-5Y-NTRK2 homodimer	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-421098	pCdk5:p35	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-9032862	BDNF:p-5Y,S479-NTRK2 homodimer	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-3928461	p-Y829-TIAM1	biolink:Gene	NCBITaxon:9606
UniProtKB:Q14790	CASP8 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P42574	CASP3 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P0DTD1-PRO_0000449623	nsp5 Scov2	biolink:Gene	NCBITaxon:9606
UniProtKB:P57764	GSDMD Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9C000	NLRP1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:O60443	GSDME Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P29466	CASP1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q6UXB2	CXCL17 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9HC97	GPR35 Hsap	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-9026521	BDNF,NTF4:p-5Y-NTRK2	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-64847	SOS1	biolink:Gene	NCBITaxon:9606
MGI:MGI:98917	Uros Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:98916	Urod Mmus	biolink:Gene	NCBITaxon:10090
GO:0030870	Mre11 complex	biolink:Gene	NCBITaxon:9606
UniProtKB:Q13315	ATM Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:O60934	NBN Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:O75925	PIAS1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P00995	SPINK1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P08217	CELA2A Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P07478	PRSS2 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P36897	TGFBR1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q15796	SMAD2 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P61812	TGFB2 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P37173	TGFBR2 Hsap	biolink:Gene	NCBITaxon:9606
MGI:MGI:5593379	Gm34220 Mmus	biolink:Gene	NCBITaxon:10090
GO:0005677	chromatin silencing complex	biolink:Gene	NCBITaxon:10090
obo:go/extensions/reacto.owl#REACTO_R-HSA-113843	CDK4	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-5205609	JBP1	biolink:Gene	NCBITaxon:9606
UniProtKB:Q8TAD4	SLC30A5 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P05187	ALPP Hsap	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-444015	SERT	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-141332	MAOA:FAD	biolink:Gene	NCBITaxon:9606
UniProtKB:Q0P5A7		biolink:Gene	NCBITaxon:9606
UniProtKB:Q16665	HIF1A Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q8IWV8	UBR2 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P06239	LCK Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9NRW4	DUSP22 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9Y297	BTRC Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P51965	UBE2E1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q15047	SETDB1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q13501	SQSTM1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P68400	CSNK2A1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q15743	GPR68 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P50148	GNAQ Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q01970	PLCB3 Hsap	biolink:Gene	NCBITaxon:9606
MGI:MGI:1915864	Letmd1 Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:88192	Smarca4 Mmus	biolink:Gene	NCBITaxon:10090
UniProtKB:P62877	RBX1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9UBK9-1	UXT Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9Y3I1	FBXO7 Hsap	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-111920	PRKACA,PRKACB,PRKACG	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-180075	DARPP-32 phosphorylated on T34	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-9822883	p-S54-PDE4B-3	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-163622	Gs-activated adenylate cyclase	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-111960	PDE4A,C,D	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-170665	Adenylate cyclase (Mg2+ cofactor)	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-180064	CDK5	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-180026	p-T75-DARPP32s	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-165977	PP2A-catalytic subunit C	biolink:Gene	NCBITaxon:9606
UniProtKB:Q86YV0	RASAL3 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P06213	INSR Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P01308	INS Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q01113	IL9R Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P31785	IL2RG Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P23458	JAK1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P15248	IL9 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P52333	JAK3 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P42229	STAT5A Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P40763	STAT3 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P42224	STAT1 Hsap	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-2586516	JAK2	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-9029080	SOS1,p-Y-VAV1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-381325	p300	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-205005	Histone deacetylase	biolink:Gene	NCBITaxon:9606
UniProtKB:O95835	LATS1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9GZV5	WWTR1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P46937	YAP1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q13188	STK3 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9NRM7	LATS2 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q7L9L4	MOB1B Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9H8S9	MOB1A Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:O95819	MAP4K4 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q8IX03	WWC1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q13043	STK4 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9H4B6	SAV1 Hsap	biolink:Gene	NCBITaxon:9606
MGI:MGI:1928378	Dhodh Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1298388	Umps Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1913838	Cmpk1 Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1916969	Cad Mmus	biolink:Gene	NCBITaxon:10090
UniProtKB:Q93034	CUL5 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q12829	RAB40B Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9UBF6	RNF7 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P10114	RAP2A Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q69091	gD HHV11	biolink:Gene	NCBITaxon:9606
UniProtKB:Q15223	NECTIN1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9BY78	RNF26 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9H0E2	TOLLIP Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9Y385	UBE2J1 Hsap	biolink:Gene	NCBITaxon:9606
MGI:MGI:95755	Slc2a1 Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:95705	B4galt1 Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1345297	Slc35a2 Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:96742	Lalba Mmus	biolink:Gene	NCBITaxon:10090
UniProtKB:Q92993	KAT5 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q06945	SOX4 Hsap	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-77267	Trifunctional Protein	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-77316	ACADS tetramer	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-54125	ECHS1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-71052	HADH dimer	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-9617533	ADCY1,ADCY8:CALM1:4xCa2+	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-9615387	PRKACA,(PRKACB,PRKACG,PRKX)	biolink:Gene	NCBITaxon:9606
UniProtKB:Q14164	IKBKE Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P61086	UBE2K Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9C030	TRIM6 Hsap	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-139950	Caspase-8 dimer	biolink:Gene	NCBITaxon:9606
UniProtKB:O60341	KDM1A Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:O95863	SNAI1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9H7Z6	KAT8 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q8TAX9-1	GSDMB Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P14222	PRF1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P12544	GZMA Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P18014	ipaH7.8 SHIFL	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-264786	Acetylcholine Loaded Synaptic Vesicle	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-372534	Docked acetylcholine loaded Synaptic Vesicle	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-210378	Voltage Gated Ca2+ Channel	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-264616	CHAT	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-264619	SLC18A3	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1500633	PHOSPHO1:Mg2+	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-429572	CHT	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-210388	VGLUT1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-444452	CTL1-5	biolink:Gene	NCBITaxon:9606
MGI:MGI:97548	Pfkm Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:97547	Pfkl Mmus	biolink:Gene	NCBITaxon:10090
UniProtKB:O00410	IPO5 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q14653	IRF3 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P04413	US3 HHV11	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9UHD2	TBK1 Hsap	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-417004	CaMKII	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-420976	Ca permeable AMPA receptor ligand complex	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1498755	CDS2	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1498775	PGS1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1524126	PLD1-4/6	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-3446802	PTPMT1	biolink:Gene	NCBITaxon:9606
UniProtKB:P17858	PFKL Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P30613-1	PKLR Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q93009	USP7 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P29590	PML Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P03211	EBNA1 NCBITaxon:10377	biolink:Gene	NCBITaxon:9606
UniProtKB:P67870	CSNK2B Hsap	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-912443	ATR	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-6788398	p-ID2 Complex:UBE2T:p-FA Core Complex:ICL-DNA	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-419551	USP1:UAF1	biolink:Gene	NCBITaxon:9606
UniProtKB:Q92793	CREBBP Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P49959	MRE11 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:O43463	SUV39H1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P45973	CBX5 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P24941	CDK2 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9NXI6	RNF186 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q12981	BNIP1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q9BZM5	ULBP2 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P26718	KLRK1 Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:P42768	WAS Hsap	biolink:Gene	NCBITaxon:9606
UniProtKB:Q06187	BTK Hsap	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1498760	CLS1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-3215272	PLA2G	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1524142	PLA2(14)	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-1524026	LPGAT	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-168156	TAK1	biolink:Gene	NCBITaxon:9606
obo:go/extensions/reacto.owl#REACTO_R-HSA-206255	p-S207,T211-MKK6	biolink:Gene	NCBITaxon:9606
GO:0005953	CAAX-protein geranylgeranyltransferase complex	biolink:Gene	NCBITaxon:10090
MGI:MGI:1336895	Rce1 Mmus	biolink:Gene	NCBITaxon:10090
MGI:MGI:1888594	Icmt Mmus	biolink:Gene	NCBITaxon:10090
