agent_type	category	id	knowledge_level	object	original_object	original_predicate	original_subject	predicate	publications	sources	subject
manual_agent	biolink:GeneToGeneAssociation	63df032a-5f6c-40ad-b7e1-12e75c9d3580	knowledge_assertion	UniProtKB:O60733	UniProtKB:O60733	RO:0002413	UniProtKB:Q9UJA2	biolink:related_to		{'id': 'infores:go-cam', 'category': ['biolink:RetrievalSource'], 'resource_id': 'infores:go-cam', 'resource_role': 'primary_knowledge_source'}	UniProtKB:Q9UJA2
manual_agent	biolink:GeneToGeneAssociation	ae1ee167-594b-48ac-9f3f-90180d95bc09	knowledge_assertion	UniProtKB:P40939	UniProtKB:P40939	RO:0002413	UniProtKB:Q16635	biolink:related_to	PMID:31604922	{'id': 'infores:go-cam', 'category': ['biolink:RetrievalSource'], 'resource_id': 'infores:go-cam', 'resource_role': 'primary_knowledge_source'}	UniProtKB:Q16635
manual_agent	biolink:GeneToGeneAssociation	19b05239-553c-44e8-a7a1-98daacb31389	knowledge_assertion	UniProtKB:Q16635	UniProtKB:Q16635	RO:0002413	UniProtKB:O60733	biolink:related_to	PMID:31604922	{'id': 'infores:go-cam', 'category': ['biolink:RetrievalSource'], 'resource_id': 'infores:go-cam', 'resource_role': 'primary_knowledge_source'}	UniProtKB:O60733
manual_agent	biolink:GeneToGeneAssociation	256d4bf0-7e57-46b7-8576-fc740ef4aac7	knowledge_assertion	UniProtKB:Q8WUK0	UniProtKB:Q8WUK0	RO:0002629	UniProtKB:Q8TC71	biolink:directly_positively_regulates	PMID:38322995	{'id': 'infores:go-cam', 'category': ['biolink:RetrievalSource'], 'resource_id': 'infores:go-cam', 'resource_role': 'primary_knowledge_source'}	UniProtKB:Q8TC71
manual_agent	biolink:GeneToGeneAssociation	c5d86ca6-bcbd-4b32-9fe4-423e0b2a8ac0	knowledge_assertion	UniProtKB:Q16635	UniProtKB:Q16635	RO:0002629	UniProtKB:Q8TC71	biolink:directly_positively_regulates	PMID:38322995	{'id': 'infores:go-cam', 'category': ['biolink:RetrievalSource'], 'resource_id': 'infores:go-cam', 'resource_role': 'primary_knowledge_source'}	UniProtKB:Q8TC71
manual_agent	biolink:GeneToGeneAssociation	e90d5364-bd77-4573-a786-68b12917a71c	knowledge_assertion	UniProtKB:Q32NB8	UniProtKB:Q32NB8	RO:0002629	UniProtKB:Q8TC71	biolink:directly_positively_regulates	PMID:38322995|PMID:38322995	{'id': 'infores:go-cam', 'category': ['biolink:RetrievalSource'], 'resource_id': 'infores:go-cam', 'resource_role': 'primary_knowledge_source'}	UniProtKB:Q8TC71
manual_agent	biolink:GeneToGeneAssociation	69b86576-23ac-4a06-9246-f8d9b57fc3ce	knowledge_assertion	UniProtKB:Q96BW9	UniProtKB:Q96BW9	RO:0002629	UniProtKB:Q8TC71	biolink:directly_positively_regulates	PMID:38322995	{'id': 'infores:go-cam', 'category': ['biolink:RetrievalSource'], 'resource_id': 'infores:go-cam', 'resource_role': 'primary_knowledge_source'}	UniProtKB:Q8TC71
manual_agent	biolink:GeneToGeneAssociation	714cdff7-d32a-4c3d-be23-35e6c5f505e3	knowledge_assertion	UniProtKB:Q9UJA2	UniProtKB:Q9UJA2	RO:0002629	UniProtKB:Q8TC71	biolink:directly_positively_regulates	PMID:38322995	{'id': 'infores:go-cam', 'category': ['biolink:RetrievalSource'], 'resource_id': 'infores:go-cam', 'resource_role': 'primary_knowledge_source'}	UniProtKB:Q8TC71
manual_agent	biolink:GeneToGeneAssociation	42e98903-204f-4263-8dff-506a69bdf6be	knowledge_assertion	UniProtKB:O60733	UniProtKB:O60733	RO:0002629	UniProtKB:Q8TC71	biolink:directly_positively_regulates	PMID:38322995	{'id': 'infores:go-cam', 'category': ['biolink:RetrievalSource'], 'resource_id': 'infores:go-cam', 'resource_role': 'primary_knowledge_source'}	UniProtKB:Q8TC71
manual_agent	biolink:GeneToGeneAssociation	9c01e6d9-9401-43e1-a73d-b9ac1cdc4919	knowledge_assertion	UniProtKB:Q9UJA2	UniProtKB:Q9UJA2	RO:0002413	UniProtKB:Q8WUK0	biolink:related_to		{'id': 'infores:go-cam', 'category': ['biolink:RetrievalSource'], 'resource_id': 'infores:go-cam', 'resource_role': 'primary_knowledge_source'}	UniProtKB:Q8WUK0
